ID,Conduit Name,Zones,Purdue Layer,Protocols,Sec_Protocol,Has_Enc,Auth_Type,Has_Int,Sec_Placement,DATA Type,C_level,A_level,I_level,S_level,Business impact,Data Lifetime,Contains PII?,Exposure,Device,Firmware upgradable,Crypto modifiable,Vendor Support of PQC
C1,Spot Market ↔ Energy Market Subsystem,Market – Energy Market Subsystem,L5–L4,"WebService, Internet, phone call",TLS 1.2/1.3 (sometimes plus VPN/IPsec),Yes,ServerCert,Yes,EndToEnd (optionally also Gateway/VPN),"Market bids, schedules, prices, contracts",H,H,H,M,High,5–10y,No,Internet / external B2B (High),"Market systems, EMS/market servers",Y,Y,N/Unknown
C2,Energy Market Subsystem ↔ DMS,Energy Market – Grid Operation,L4–L3,WebService or Email,"TLS 1.2/1.3 (for WebService), TLS for SMTP + optional S/MIME",Yes,ServerCert (sometimes Password for mail),Yes,EndToEnd (often also inside VPN),"Operational plans, schedules, outage & congestion info",M,H,H,M,High,~5–10y,No,Utility WAN / extranet (Medium),EMS / DMS application servers,Y,Y,N/Unknown
C3,Energy Market Subsystem ↔ MDMS,Energy Market – Metering,L4–L3,WebService or Email,TLS 1.2/1.3 (often via VPN),Yes,ServerCert,Yes,EndToEnd (plus VPN tunnel),Aggregated metering and settlement data,H,M,H,L,High,10y+,No / Possible,Utility WAN (Medium),MDMS servers,Y,Y,N/Unknown
C4,SCADA System ↔ Automation Headend,Grid Operation,L3–L3,"IEC 60870-5-104, IEC 61850 over Ethernet",None in legacy,"Yes (where IPsec is used), No (legacy)",MutCert (site-to-site VPN),Yes (ESP auth / AEAD),"GatewayOnly (between routers, not inside 104/61850)","Real-time telemetry, alarms, control commands",M,H,H,H,High,"Telemetry days, logs 5+ years",No,Utility WAN (Medium),"SCADA master, automation headend servers",Y,Y,N/Unknown
C5,DMS ↔ Automation Headend,Grid Operation,L3–L3,"IEC 60870-5-104, IEC 61850, WebService/Ethernet",IPsec ESP (site-to-site),Yes,MutCert,Yes,GatewayOnly,"Switching plans, setpoints, topology data",M,H,H,H,High,~5–10y,No,Utility WAN (Medium),DMS & automation headend servers,Y,Y,N/Unknown
C6,AMI Headend ↔ MDMS,Metering,L3–L3,WebService over Ethernet,TLS 1.2/1.3,Yes,MutCert (server + client certs),Yes (AEAD or MAC),EndToEnd,"Meter readings, events, billing data, remote disconnect commands",H,M,H,L–M,High,7–10y,Yes,Utility WAN / data centre network (Medium),"AMI headend, MDMS servers",Y,Y,N/Unknown
C7,Automation Headend ↔ Automation Frontend,Grid Operation – Station,L3–L2,"IEC 60870-5-104, IEC 61850, WebService over Ethernet, field radio, WiMAX, PLC","IPsec ESP (typical), sometimes None / MAC-only",Yes (when IPsec enabled),MutCert,Yes,GatewayOnly (WAN/radio edge),"Substation status, control commands, configuration",M,H,H,H,High,"Years (event logs, switching records)",No,Long-distance WAN / wireless (High),Automation frontend (RTU/IED gateway),Maybe,Maybe,N
C8,Automation Frontend ↔ Primary Substation Node,Primary Substation (high/medium voltage),L2–L2,"IEC 60870-5-104, IEC 61850, WebService Ethernet",None or MACsec/VPN on station LAN (only in newer builds),"Partial (Yes where MACsec/VPN used, No otherwise)",None (or link-layer keys in MACsec),Partial,LAN-only (inside substation),"Breaker status, measurements, control",M,H,H,H,High,Logs 5+ years,No,Substation LAN (Low–Medium),Substation controller / bay controllers,Maybe,Maybe,N
C9,Primary Substation Node ↔ Local I/O,Primary Substation – Process,L1–L0,"Modbus RS485, IEC 61850 Ethernet, analog loops",None (maybe MACsec for some 61850 links),No,None,No,None (physical isolation only),"Raw sensor data, breaker trips/close commands",L,H,H,H,High,"Real-time, logs <1y",No,Local wired network (Low),"IEDs, sensors, actuators",Limited/Maybe,No,N
C10,Secondary Substation Node / Concentrator ↔ Smart Meter,Secondary Substation (med/low volt.) – Customer Premises / Metering,L2–L1,"G3-PLC, PRIME, CX1, LonTalk over PLC; DLMS/COSEM on higher layer",DLMS/COSEM security (AES),Yes,PSK / shared symmetric keys (per meter or per group),Yes (DLMS MAC),EndToEnd (between meter and headend/concentrator),"Meter readings, events, tariff & disconnect commands",H,M,M–H,L–M,High,7–10y,Yes,Field PLC over public LV grid (High),"Smart meters, concentrators",Often Y,Limited,N
C11,Smart Grid Gateway (Customer Premises) ↔ Home Automation,Customer Premises,L1–L1,WebService over coax / Ethernet,TLS 1.2 (or vendor TLS),Yes,ServerCert (sometimes PSK/device token),Yes,EndToEnd,"Home energy management commands, consumption info",H,M,M,L,Medium,1–5y,Yes,"Customer LAN (High, under user control)","Home energy gateway, home automation controller",Y,Limited,N
C12,Smart Meter / Home Automation ↔ Controllable Loads,Customer Premises – Process,L1–L0,"Analog, LON, BacNet, EIB, WLAN (wired/wireless)",None for LON/BacNet/EIB; WPA2/WPA3 for WLAN,"Partial (Yes on Wi-Fi, No on fieldbus)",PSK (Wi-Fi) / None (fieldbus),"Partial (Wi-Fi has integrity, fieldbus mostly not)",LocalOnly (in-home),"Device setpoints, schedules, usage data",H,M,M,M,Medium,1–2y,Yes (indirectly),In-home fieldbuses / Wi-Fi (High),"Smart appliances, controllable loads",Maybe,No/limited,N
C13,E-Mobility Management ↔ Charging Station,E-Mobility,L3–L1,"XML over HTTP, Ethernet; OpenChargePoint Protocol, IEC 61334, GPRS/UMTS (wired & cellular)",TLS 1.2 (sometimes + VPN),Yes,ServerCert or MutCert (depends on operator),Yes,EndToEnd (often plus VPN),"Charging control, tariffs, billing records, station status",H,M,M,M,High,5y+,Yes,Internet / cellular (High),Charging station back-end & local controller,Y,Maybe,N
C14,Charging Station ↔ E-Vehicle,E-Mobility – Customer / Process,L1–L0,"IEC 61851 PLC, IEC 15118 PLC","TLS 1.2 (IEC 15118 sessions), None for pure 61851 signalling",Partial,ServerCert / MutCert (Plug&Charge),Partial,EndToEnd (between EV and EVSE for 15118),"Charging authorisation, contract identifier, charging status",H,M,M,M–H,High,~5y,Yes,Local physical connection (Low–Medium),EVSE (charger) and EV on-board system,Y,Limited,N
C15,Smart Grid Gateway (Building) ↔ Building Management,Smart Building,L3–L2/L1,WebService over Ethernet,TLS 1.2/1.3,Yes,ServerCert,Yes,EndToEnd,"Building energy optimisation, consumption profiles",M,M,M,M,Medium,1–5y,Typically No (organisation-level),Building LAN (Medium),Building smart-grid gateway & BMS server,Y,Y,N
C16,Building Automation ↔ HVAC / Lighting,Smart Building – Process,L1–L0,"LON, BacNet, EIB (wired, sometimes wireless)","None (some newer BacNet/SC = TLS, but rare)",No,None,No,None (depends on physical/logical isolation),"Local control commands, temperatures, occupancy signals",L–M,M,M,M,Medium,<2y,No (unless detailed occupancy logged elsewhere),Building fieldbus (Low–Medium),HVAC & lighting controllers,Maybe,No,N